Trainer_PK,Horse_PK,Horse_Name,Horse_BY,Trainer_Num,Trainer_Name,Trainer_Div
70177,50160,러피언이글,2019,53,김동철,서울 경마장
70157,43920,정문파파고,2019,7,구자흥,서울 경마장
70160,45101,콰이어트참,2019,24,서홍수,서울 경마장
70146,44105,스탠바이미,2019,22,안병기,서울 경마장
70085,43703,돌배,2019,28,최상식,서울 경마장
70175,44453,레전드삭스,2019,31,강환민,서울 경마장
70197,43955,오래함께하자,2019,48,이준철,서울 경마장
70098,44111,러너몬스터,2019,3,최영주,서울 경마장
70110,44149,헤이마마,2019,23,유재길,서울 경마장
70198,43834,마이티선샤인,2019,35,임채덕,서울 경마장
70160,44261,리월마,2019,24,서홍수,서울 경마장
70174,43869,퀴클리런,2019,9,강성오,서울 경마장
70085,43708,글로벌프라임,2019,28,최상식,서울 경마장
70096,44162,큐피드웨이,2019,12,서범석,서울 경마장
70096,43916,원더풀데퓨티,2019,12,서범석,서울 경마장
70094,43712,용암보스,2019,19,곽영효,서울 경마장
70175,43999,데블케이,2019,31,강환민,서울 경마장
70163,44637,포에버칸,2019,27,박병일,서울 경마장
70103,43845,세인트루카,2019,32,김윤섭,서울 경마장
70244,44510,드림스피드,2019,34,리카디,서울 경마장
70117,44802,걸작드림,2019,4,박윤규,서울 경마장
70098,44728,희망오름,2019,3,최영주,서울 경마장
70161,44497,올포유어드림,2019,41,신삼영,서울 경마장
70053,44200,컴플리트룰러,2019,13,이희영,서울 경마장
70198,43704,불의꽃,2019,35,임채덕,서울 경마장
70182,43908,천둥오름,2019,25,전승규,서울 경마장
70167,44442,사려니퍼스트,2019,14,이신영,서울 경마장
70163,43992,해피믹스,2019,27,박병일,서울 경마장
70163,44232,은혜드림,2019,27,박병일,서울 경마장
70110,43950,큐피드보우,2019,23,유재길,서울 경마장
70164,44033,베스트전사,2019,50,박재우,서울 경마장
70091,43897,빛의대륙,2019,20,배대선,서울 경마장
70095,43977,라온더위켄드,2019,1,박종곤,서울 경마장
70150,45672,퍼펙트타임,2019,2,손영표,서울 경마장
70091,44454,투게더웨이,2019,20,배대선,서울 경마장
70165,43477,매직그레이스,2019,33,서인석,서울 경마장
70165,46593,탭다운,2019,33,서인석,서울 경마장
70167,44601,유레카,2019,14,이신영,서울 경마장
